GDSC_Drug,Entrez_ID,Ki_nM,source_rows,pAffinity,drug_idx,gene_idx
5494449,10733,9.35,1,8.029188389127482,60,858
5494449,6790,0.6,1,9.221848749616356,60,630
5494449,3717,190000.0,1,3.721246399047171,60,347
5494449,25,36.0,2,7.443697499232712,60,1
5494449,3932,80.0,1,7.096910013008056,60,359
5494449,3815,240000.0,1,3.6197887582883936,60,355
5494449,1588,30.0,1,7.522878745280337,60,162
5494449,6714,350.0,1,6.455931955649724,60,618
5494449,2322,30.0,1,7.522878745280337,60,253
5494449,6197,6400000.0,1,2.1938200260161125,60,583
5494449,3718,630000.0,1,3.200659450546418,60,348
5494449,8788,36.0,1,7.443697499232712,60,750
5494449,6196,2000000.0,1,2.6989700043360187,60,582
5494449,9212,18.0,1,7.744727494896693,60,779
5494449,54998,0.6,1,9.221848749616356,60,1003
5494449,440275,1900000.0,1,2.721246399047171,60,1152
5494449,6795,4.6,1,8.337242168318426,60,634
56941241,2099,0.37,1,9.431798275933003,146,216
56962336,84444,0.3,1,9.522878745280336,147,1079
57339144,1129,72.0,1,7.142667503568731,148,118
57339144,1132,400.0,1,6.3979400086720375,148,120
57339144,1133,4300.0,1,5.366531544420413,148,121
57339144,1128,97.0,1,7.013228265733755,148,117
57339144,152,860.0,1,6.065501548756432,148,18
57339144,1131,890.0,1,6.050609993355087,148,119
57339144,4986,4000.0,1,5.3979400086720375,148,428
57345410,84444,0.08,1,10.096910013008056,149,1079
5746,3620,25000.0,1,4.6020599913279625,11,337
58423153,596,80.0,1,7.096910013008056,150,49
58423153,5292,0.017,1,10.769551078621726,150,464
58423153,415116,0.23,1,9.638272163982409,150,1151
58423153,57104,0.017,1,10.769551078621726,150,1030
58423153,11040,0.16,1,9.795880017344077,150,871
59472121,3717,150.0,1,6.823908740944319,151,347
59472121,25,59.0,1,7.229147988357855,151,1
59472121,3815,39.0,1,7.4089353929735005,151,355
59472121,5295,140.0,1,6.853871964321762,151,467
59472121,2324,8.0,1,8.096910013008056,151,254
59472121,2322,74.0,1,7.130768280269024,151,253
59472121,6850,190.0,1,6.721246399047171,151,635
59472121,2931,33.0,1,7.481486060122112,151,288
59472121,2932,140.0,1,6.853871964321762,151,289
59472121,4293,15.0,1,7.823908740944319,151,390
59472121,10461,30.0,1,7.522878745280337,151,844
59472121,472,44.0,1,7.356547323513812,151,40
59472121,545,0.1565,1,9.805485658117531,151,45
59472121,8445,26.0,1,7.585026652029182,151,724
5978,5243,213000.0,1,3.671620396561262,12,455
5978,1244,802000.0,1,3.0958256317158366,12,130
5978,28234,13700.0,1,4.863279432843593,12,948
5978,10599,42000.0,1,4.376750709602099,12,853
60838,1576,24000.0,1,4.619788758288394,20,159
60838,43,51.0,1,7.292429823902063,20,5
6253,978,190000.0,1,3.721246399047171,13,103
643462,23762,2600.0,1,5.585026652029182,46,928
644241,771,302.0,1,6.51999305704285,47,75
644241,3717,8539.0,1,5.068592986443427,47,347
644241,25,1.0,1,9.0,47,1
644241,759,29.3,1,7.53313237964589,47,67
644241,760,4.1,1,8.387216143280265,47,68
644241,3643,4101.0,1,5.387110230712516,47,340
644241,3932,2143.0,1,5.668977828958171,47,359
644241,761,443.0,1,6.3535962737769305,47,69
644241,4067,4069.0,1,5.390512310146715,47,369
644241,4233,7099.0,1,5.148802823825839,47,388
644241,5159,2.0,1,8.698970004336019,47,447
644241,2268,7741.0,1,5.11120293254332,47,245
644241,3815,2.0,1,8.698970004336019,47,355
644241,2260,8024.0,1,5.095609079987638,47,241
644241,5156,2.0,1,8.698970004336019,47,446
644241,2263,7220.0,1,5.141462802430361,47,243
644241,762,446.0,1,6.350665141287858,47,70
644241,765,461.0,1,6.336299074610352,47,72
644241,2048,4.0,1,8.397940008672037,47,205
644241,7297,9437.0,1,5.02516604495146,47,667
644241,763,5485.0,1,5.2608233680892695,47,71
644241,2322,3951.0,1,5.403292970318554,47,253
644241,2444,4720.0,1,5.326058001365912,47,261
644241,766,99.0,1,7.00436480540245,47,73
644241,7535,8374.0,1,5.077067043444789,47,692
644241,660,4808.0,1,5.318035541005317,47,61
644241,2050,37.0,1,7.431798275933005,47,207
644241,2047,15.0,1,7.823908740944319,47,204
644241,7010,3604.0,1,5.443215217692975,47,641
644241,4486,8992.0,1,5.046143701775014,47,401
644241,4915,8237.0,1,5.084230934016316,47,425
644241,768,41.9,1,7.377785977033705,47,74
644241,23632,223.0,1,6.651695136951839,47,925
644241,11238,14920.0,1,4.82623117686335,47,882
6445533,8841,4.2,1,8.3767507096021,61,755
6445533,9759,2250.0,1,5.647817481888637,61,808
6445533,3065,0.6,1,9.221848749616356,61,296
6445533,51564,9500.0,1,5.022276394711152,61,977
6445533,3066,1.4,1,8.853871964321762,61,297
6445533,55869,340.0,1,6.468521082957745,61,1021
6445533,10013,9.5,1,8.022276394711152,61,818
6445533,9734,9000.0,1,5.045757490560675,61,806
6445533,10014,420.0,1,6.376750709602099,61,819
6445562,3718,25000.0,1,4.6020599913279625,62,348
6445562,6196,8700000.0,1,2.0604807473813818,62,582
6445562,440275,290000.0,1,3.5376020021010435,62,1152
6450551,10733,4.2,1,8.3767507096021,63,858
6450551,3791,0.2,1,9.69897000433602,63,354
6505803,3320,29.0,1,7.537602002101044,64,315
657237,4907,700000.0,1,3.154901959985743,48,423
66577038,56848,3.6,1,8.443697499232712,152,1025
66577038,8877,3.6,1,8.443697499232712,152,760
6852167,5294,7.0,1,8.154901959985743,65,466
68740,9453,2700.0,1,5.568636235841012,21,794
68740,2224,42.985,1,7.366683068925726,21,235
6914657,10135,0.3,1,9.522878745280336,66,829
6918638,8841,10.25,1,7.989276134608227,67,755
6918638,9759,197.5,1,6.704432900037521,67,808
6918638,3065,13.45,1,7.871277715661574,67,296
6918638,51564,63.0,1,7.200659450546418,67,977
6918638,3066,11.45,1,7.941194513324094,67,297
6918638,83933,59.0,1,7.229147988357855,67,1073
6918638,79885,27.0,1,7.568636235841012,67,1062
6918638,55869,23.5,1,7.628932137728263,67,1021
6918638,10013,5.8,1,8.236572006437063,67,818
6918638,9734,137.0,1,6.863279432843593,67,806
6918638,10014,100.0,1,7.0,67,819
6918837,8841,2.3,1,8.638272163982407,68,755
6918837,9759,360.0,1,6.443697499232712,68,808
6918837,3065,2.5,1,8.602059991327963,68,296
6918837,51564,630.0,1,6.200659450546418,68,977
6918837,3066,4.7,1,8.327902142064282,68,297
6918837,83933,18.05,1,7.7435227937583235,68,1073
6918837,79885,601.75,1,6.220583901052932,68,1062
6918837,55869,137.5,1,6.861697301833718,68,1021
6918837,10013,15.75,1,7.80271944187438,68,818
6918837,9734,830.0,1,6.080921907623926,68,806
6918837,10014,57.0,1,7.244125144327507,68,819
6918878,8841,500.0,1,6.301029995663981,69,755
