gene1_idx,Gene1_Entrez_ID,gene2_idx,Gene2_Entrez_ID,combined_score,PPI_score
36,367,612,6597,625.0,0.625
36,367,618,6714,924.0,0.924
36,367,625,6774,643.0,0.643
36,367,636,6872,476.0,0.476
36,367,653,7155,652.0,0.652
36,367,654,7157,420.0,0.42
36,367,659,7184,801.0,0.801
36,367,670,7329,646.0,0.646
36,367,674,7403,529.0,0.529
36,367,700,8019,457.0,0.457
36,367,713,8361,499.0,0.499
36,367,752,8805,457.0,0.457
36,367,757,8850,457.0,0.457
36,367,768,9070,576.0,0.576
36,367,800,9611,924.0,0.924
36,367,801,9612,827.0,0.827
36,367,804,9682,549.0,0.549
36,367,808,9759,457.0,0.457
36,367,830,10188,639.0,0.639
36,367,849,10521,609.0,0.609
36,367,860,10765,511.0,0.511
36,367,874,11140,576.0,0.576
36,367,896,23028,987.0,0.987
36,367,901,23081,575.0,0.575
36,367,906,23186,512.0,0.512
36,367,915,23411,447.0,0.447
36,367,918,23476,925.0,0.925
36,367,951,29028,418.0,0.418
36,367,1018,55818,493.0,0.493
36,367,1026,56924,869.0,0.869
36,367,1037,57599,630.0,0.63
36,367,1043,64324,469.0,0.469
36,367,1056,79723,547.0,0.547
37,369,62,673,994.0,0.994
37,369,139,1445,499.0,0.499
37,369,146,1460,512.0,0.512
37,369,278,2810,699.0,0.699
37,369,307,3265,872.0,0.872
37,369,316,3326,609.0,0.609
37,369,343,3690,503.0,0.503
37,369,358,3845,906.0,0.906
37,369,375,4140,400.0,0.4
37,369,463,5291,431.0,0.431
37,369,467,5295,558.0,0.558
37,369,474,5315,727.0,0.727
37,369,502,5580,408.0,0.408
37,369,515,5594,499.0,0.499
37,369,516,5595,499.0,0.499
37,369,525,5604,817.0,0.817
37,369,526,5605,884.0,0.884
37,369,561,5894,991.0,0.991
37,369,618,6714,498.0,0.498
37,369,688,7529,867.0,0.867
37,369,689,7532,588.0,0.588
37,369,690,7533,709.0,0.709
37,369,691,7534,639.0,0.639
37,369,756,8844,437.0,0.437
37,369,867,10971,725.0,0.725
37,369,1137,283455,531.0,0.531
38,444,81,808,654.0,0.654
38,444,226,2159,900.0,0.9
38,444,246,2280,558.0,0.558
38,444,247,2281,653.0,0.653
39,471,128,1213,499.0,0.499
39,471,269,2618,935.0,0.935
39,471,285,2885,686.0,0.686
39,471,402,4522,974.0,0.974
39,471,422,4869,563.0,0.563
39,471,793,9451,499.0,0.499
39,471,946,27436,499.0,0.499
40,472,45,545,939.0,0.939
40,472,56,641,928.0,0.928
40,472,94,890,499.0,0.499
40,472,106,1017,800.0,0.8
40,472,108,1019,800.0,0.8
40,472,116,1111,420.0,0.42
40,472,123,1147,547.0,0.547
40,472,137,1432,457.0,0.457
40,472,197,2033,776.0,0.776
40,472,296,3065,886.0,0.886
40,472,303,3105,487.0,0.487
40,472,314,3315,444.0,0.444
40,472,315,3320,572.0,0.572
40,472,382,4193,842.0,0.842
40,472,383,4194,516.0,0.516
40,472,399,4361,811.0,0.811
40,472,512,5591,938.0,0.938
40,472,520,5599,630.0,0.63
40,472,560,5888,907.0,0.907
40,472,612,6597,466.0,0.466
40,472,633,6794,411.0,0.411
40,472,637,6885,674.0,0.674
40,472,654,7157,713.0,0.713
40,472,655,7158,973.0,0.973
40,472,683,7468,499.0,0.499
40,472,684,7486,499.0,0.499
40,472,713,8361,499.0,0.499
40,472,728,8493,649.0,0.649
40,472,803,9656,992.0,0.992
40,472,804,9682,499.0,0.499
40,472,858,10733,456.0,0.456
40,472,863,10856,557.0,0.557
40,472,880,11200,977.0,0.977
40,472,896,23028,900.0,0.9
40,472,897,23030,499.0,0.499
40,472,906,23186,900.0,0.9
40,472,915,23411,621.0,0.621
40,472,1016,55775,422.0,0.422
40,472,1076,84126,986.0,0.986
41,476,42,481,983.0,0.983
41,476,44,488,720.0,0.72
41,476,705,8140,491.0,0.491
42,481,44,488,782.0,0.782
43,487,44,488,933.0,0.933
43,487,49,596,589.0,0.589
44,488,49,596,474.0,0.474
44,488,51,598,432.0,0.432
44,488,87,821,655.0,0.655
44,488,186,1956,468.0,0.468
44,488,333,3611,484.0,0.484
44,488,345,3708,495.0,0.495
44,488,1101,120892,457.0,0.457
45,545,56,641,645.0,0.645
45,545,116,1111,457.0,0.457
45,545,297,3066,533.0,0.533
45,545,399,4361,499.0,0.499
45,545,654,7157,523.0,0.523
45,545,655,7158,515.0,0.515
45,545,684,7486,722.0,0.722
45,545,713,8361,630.0,0.63
45,545,880,11200,834.0,0.834
45,545,1076,84126,999.0,0.999
46,558,186,1956,486.0,0.486
46,558,211,2064,668.0,0.668
46,558,212,2065,623.0,0.623
46,558,285,2885,859.0,0.859
46,558,315,3320,584.0,0.584
46,558,316,3326,409.0,0.409
46,558,354,3791,499.0,0.499
46,558,359,3932,710.0,0.71
46,558,369,4067,558.0,0.558
46,558,388,4233,435.0,0.435
46,558,462,5290,499.0,0.499
46,558,463,5291,499.0,0.499
46,558,467,5295,821.0,0.821
46,558,468,5296,650.0,0.65
46,558,618,6714,891.0,0.891
46,558,635,6850,510.0,0.51
46,558,669,7301,587.0,0.587
46,558,691,7534,455.0,0.455
46,558,844,10461,415.0,0.415
47,572,49,596,992.0,0.992
47,572,51,598,998.0,0.998
47,572,52,599,638.0,0.638
