Molecule_ChEMBL_ID,Molecule_Pref_Name,Drug_CID,Drug_GDSC,Canonical_SMILES
CHEMBL276966,,9577171,FALSE,C(=N/NC1=NCCN1)\c1c2ccccc2cc2ccccc12
CHEMBL407582,,49796497,FALSE,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)CC(OC(=O)[C@H](OC(=O)N(C)CCN(C)C(=O)[C@H](CCCCN)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](C)N)C(NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O.Cl.Cl
CHEMBL22696,,9577168,FALSE,C(=N/NC1=NCCN1)\c1ccc(/C=N/NC2=NCCN2)c2cc3ccccc3cc12
CHEMBL279754,DSB-120,9849976,FALSE,COc1cc2c(cc1OCCCOc1cc3c(cc1OC)C(=O)N1CCC[C@H]1C=N3)N=C[C@@H]1CCCN1C2=O
CHEMBL92659,,2876,FALSE,CC1=C(SCCO)C(=O)c2ccccc2C1=O
CHEMBL340794,,5329670,FALSE,CC(C)(C)c1cnc(CSc2cnc(NC(=O)Nc3ccc(F)cc3)s2)o1
CHEMBL319087,,10417060,FALSE,COC(=O)CC1=CN2C(=O)c3cc(OC)c(OCCCOc4cc5c(cc4OC)C(=O)N4C=C(CC(=O)OC)C[C@H]4C=N5)cc3N=C[C@@H]2C1
CHEMBL93699,,10107508,FALSE,CC1=C(SC(C)C(C)O)C(=O)c2ccccc2C1=O
CHEMBL125401,,5329663,FALSE,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1
CHEMBL129471,,5329664,FALSE,CC(=O)Nc1ncc(SCc2ncc(C(C)C)o2)s1
CHEMBL263955,,5329668,FALSE,CC(C)(C)C(=O)Nc1ncc(SCc2ncc(C(C)(C)C)o2)s1
CHEMBL126549,,5329672,FALSE,CC(C)(C)c1cnc(CSc2cnc(NC(=O)Nc3c(Cl)cccc3Cl)s2)o1
CHEMBL126997,,5329671,FALSE,CC(C)(C)c1cnc(CSc2cnc(NC(=O)Nc3c(F)cccc3F)s2)o1
